group_type,group_value,row_count,positive_labels,negative_labels,positive_base_rate,frozen_predictor_auroc,frozen_predictor_brier,constant_comparator_brier,brier_improvement,mean_oracle_skip_benefit,mean_baseline_iou,mean_physical_skip_iou,physical_whole_mrm1_interaction,descriptive_only
pair_side,R3-H02:primary,25,14,11,0.56,0.37662337662337664,0.25127635917234964,0.2507430989424113,-0.000533260229938326,0.00635389367306519,0.8149283624372372,0.8212822561103024,0.00635389367306519,true
pair_side,R3-H03:control,11,4,7,0.36363636363636365,0.35714285714285715,0.2615676658690489,0.24842514707977142,-0.013142518789277469,-0.0023016476131438664,0.8611762823493833,0.8588746347362393,-0.0023016476131438664,true
pair_side,R3-H03:primary,11,3,8,0.2727272727272727,0.25,0.27468945990977023,0.24735202121743816,-0.027337438692332072,-0.1660663859250138,0.6509513969863421,0.4848850110613284,-0.1660663859250138,true
pair_side,R3-H04:control,19,10,9,0.5263157894736842,0.3,0.25634939983772503,0.25034547757026254,-0.0060039222674624915,-0.009597249851130628,0.8585001843838014,0.8489029345326706,-0.009597249851130628,true
pair_side,R3-H04:primary,19,9,10,0.47368421052631576,0.35555555555555557,0.2558714138584956,0.24972419417628014,-0.00614721968221546,-0.02688464380417214,0.7162532919539709,0.6893686481497988,-0.02688464380417214,true
pair_side,R3-H05:control,25,11,14,0.44,0.6428571428571429,0.24660094432654564,0.2493265728041314,0.0027256284775857564,-0.009381719268143941,0.7976481483602121,0.7882664290920681,-0.009381719268143941,true
pair_side,R3-H05:primary,25,4,21,0.16,0.5476190476190477,0.31712866307156595,0.2460213451481449,-0.07110731792342107,-0.10298455515133037,0.3175510946493534,0.214566539498023,-0.10298455515133037,true
pair_side,R3-H06:control,25,16,9,0.64,0.6736111111111112,0.2371101965789559,0.2516874497012646,0.014577253122308703,0.03226839840924924,0.6216852351425906,0.6539536335518398,0.03226839840924924,true
pair_side,R3-H06:primary,25,17,8,0.68,0.4632352941176471,0.245530768716712,0.25215962508069123,0.006628856363979224,0.03485356002033698,0.6042858828297956,0.6391394428501326,0.03485356002033698,true
pair_side,R3-H07:control,25,16,9,0.64,0.5208333333333334,0.2506285381799139,0.2516874497012646,0.001058911521350736,0.007071003257973043,0.8385912434673543,0.8456622467253273,0.007071003257973043,true
pair_side,R3-H07:primary,25,11,14,0.44,0.538961038961039,0.25905774315733604,0.2493265728041314,-0.009731170353204643,-0.0039180630848728,0.7411644097652236,0.7372463466803506,-0.0039180630848728,true
pair_side,R3-H08:control,28,10,18,0.35714285714285715,0.6333333333333333,0.2300357299504659,0.2483484952324619,0.01831276528199602,-0.01570349628990647,0.7185135484019691,0.7028100521120625,-0.01570349628990647,true
pair_side,R3-H08:primary,28,17,11,0.6071428571428571,0.4117647058823529,0.28117800565787443,0.2512995913538784,-0.029878414303996015,0.008608741770165443,0.6962141750210196,0.7048229167911849,0.008608741770165443,true
