analysis_family,sensitivity_dimension,sensitivity_group,selection_rule,metric_or_mode,effect_definition,n_pairs,pair_ids,estimate,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,decision_role
CRITERION_A,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,3,R3-D03;R3-D04;R3-D05,0,2,0,0,1,2,0,0,1,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm1,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.0064486499644650086,2,-0.0098171491775300157,0.00028834846166500214,0.49655034496550343,2,-0.0098171491775300157,0.00028834846166500214,0.51294870512948709,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm2,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.0026399521791758023,2,-0.009703255139948859,0.011486653742370309,0.49655034496550343,2,-0.009703255139948859,0.011486653742370309,0.51294870512948709,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm3,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.013944909946437635,2,-0.022354737488365597,0.0028747451374182909,0.49655034496550343,2,-0.022354737488365597,0.0028747451374182909,0.51294870512948709,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm4,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.018555593349395254,2,-0.023619593440666983,-0.016023593303759388,0.00019998000199980003,2,-0.023619593440666983,-0.016023593303759388,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm5,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.01819024032660442,2,-0.052918316383721353,-0.00082620229804595408,0.00019998000199980003,2,-0.052918316383721353,-0.00082620229804595408,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,mrm6,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.0075237434365648436,2,-0.010980573358755658,-0.005795328475469437,0.00019998000199980003,2,-0.010980573358755658,-0.005795328475469437,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,early,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.0033560540864626142,2,-0.0059067663983959923,0.0017453705374041433,0.49655034496550343,2,-0.0059067663983959923,0.0017453705374041433,0.51294870512948709,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,middle,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,-0.015564202482199632,2,-0.016552959496435708,-0.013586688453727475,0.00019998000199980003,2,-0.016552959496435708,-0.013586688453727475,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,SAME_SEQUENCE_CONTROL,primary_sequence=control_sequence,late,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),3,R3-D03;R3-D04;R3-D05,0.057674197893074187,2,-0.075483161603836724,0.12425287764152965,0.49655034496550343,2,-0.075483161603836724,0.12425287764152965,0.51294870512948709,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.17662892575569225,9,-0.0048020223744016871,0.39142391390148018,0.057994200579942007,7,-0.027572450291232585,0.3729925939624999,0.10078992100789921,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,0.20444444444444446,9,-0.040000000000000001,0.53333333333333333,0.16798320167983202,7,-0.049999999999999996,0.47999999999999998,0.19598040195980401,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
