sequence,frame_index,mrm_id,ablation_control,retriever_latency_ms,mlp_latency_ms,total_mrm_compute_latency_ms,diagnostic_norm_fingerprint_overhead_ms,total_instrumented_mrm_latency_ms,physical_skip
Basketball,399,MRM5,none,9.497899998677894,2.1935999975539744,11.973699991358444,1.338200003374368,13.314199983142316,False
Basketball,399,MRM6,none,6.3615999824833125,1.4967000170145184,8.057999977609143,1.121300010709092,9.181000001262873,False
Basketball,400,MRM1,none,11.183399998117238,2.0271999819669873,13.54500002344139,1.341299997875467,14.88870001048781,False
Basketball,400,MRM2,none,7.386300014331937,1.8272000015713274,9.404000011272728,1.0074000165332109,10.413000010885298,False
Basketball,400,MRM3,none,4.5267000095918775,1.1245999776292592,5.913300003157929,1.1708999809343368,7.0869000046513975,False
Basketball,400,MRM4,none,14.118800027063116,1.8699000065680593,16.245200007688254,1.0497999901417643,17.296900012297556,False
Basketball,400,MRM5,none,8.188000007066876,1.960299996426329,10.401900013675913,1.2374000216368586,11.641499993856996,False
Basketball,400,MRM6,none,10.57579999906011,2.5037000013981014,13.343799975700676,1.1494999926071614,14.494999981252477,False
Basketball,401,MRM1,none,11.878899997100234,2.6480999949853867,14.850900013698265,1.3108999992255121,16.163699998287484,False
Basketball,401,MRM2,none,8.173199981683865,1.7689000233076513,10.154499992495403,0.999599986243993,11.155799991684034,False
Basketball,401,MRM3,none,7.49250000808388,1.8552000110503286,9.626099985325709,1.0921999928541481,10.72079999721609,False
Basketball,401,MRM4,none,7.985400006873533,1.6850999963935465,9.884200000669807,1.058299996657297,10.945799993351102,False
Basketball,401,MRM5,none,5.968799989204854,1.9256000232417136,8.118799974909052,1.3776000123471022,9.498199971858412,False
Basketball,401,MRM6,none,6.826099997851998,2.4187999952118844,9.500299987848848,1.6048999968916178,11.1075000022538,False
Basketball,402,MRM1,none,8.404499996686354,1.9184999982826412,10.643999994499609,1.4556999958585948,12.10169997648336,False
Basketball,402,MRM2,none,7.334999972954392,1.6241999983321875,9.172799997031689,1.0291999788023531,10.203499987255782,False
Basketball,402,MRM3,none,8.12210000003688,1.3349999790079892,9.653799992520362,0.917799974558875,10.573399980785325,False
Basketball,402,MRM4,none,7.065400015562773,1.9156999769620597,9.25410000490956,1.7419999931007624,10.99939999403432,False
Basketball,402,MRM5,none,5.818600009661168,1.597299997229129,7.629700005054474,1.060199982021004,8.691900002304465,False
Basketball,402,MRM6,none,7.855299976654351,1.854400004958734,9.952800028258935,1.1630000080913305,11.11800002399832,False
Basketball,403,MRM1,none,7.853300019633025,2.041500003542751,10.15499999630265,1.223200000822544,11.379900010069832,False
Basketball,403,MRM2,none,7.5516999932006,1.6930000274442136,9.459199995035306,1.0802000178955495,10.54170000134036,False
Basketball,403,MRM3,none,6.930500007001683,1.876900001661852,9.050199994817376,1.0734999959822744,10.125700006028637,False
Basketball,403,MRM4,none,5.388399993535131,2.427999977953732,8.065100002568215,1.0214000067207962,9.088399994652718,False
Basketball,403,MRM5,none,8.853699982864782,2.3056000063661486,11.453900020569563,1.3023000210523605,12.7580999978818,False
Basketball,403,MRM6,none,6.806799996411428,1.8115999992005527,8.850799989886582,1.1545000015757978,10.007900011260062,False
Basketball,404,MRM1,none,9.466999996220693,1.9211999897379428,11.684099998092279,1.264399994397536,12.950499978614971,False
Basketball,404,MRM2,none,8.844699972542003,1.4789000269956887,10.501300013856962,0.9881000150926411,11.491700017359108,False
Basketball,404,MRM3,none,10.283300012815744,2.45060000452213,13.034600007813424,1.316499983659014,14.353200007462874,False
Basketball,404,MRM4,none,9.612399997422472,1.9143999961670488,11.76090000080876,1.280799973756075,13.044499995885417,False
Basketball,404,MRM5,none,10.593900020467117,2.6104999997187406,13.542300002882257,1.2172000133432448,14.761900005396456,False
Basketball,404,MRM6,none,11.03649998549372,3.869599982863292,15.449200000148267,2.0158000115770847,17.468600010033697,False
Basketball,405,MRM1,none,9.428499994101003,3.2734000124037266,13.063799997325987,1.7109999898821115,14.777700009290129,False
Basketball,405,MRM2,none,9.031999972648919,2.0671000238507986,11.365199985448271,1.144799985922873,12.512499990407377,False
Basketball,405,MRM3,none,8.081600011792034,1.854100002674386,10.202200006460771,1.1107999889645725,11.314800009131432,False
Basketball,405,MRM4,none,7.897600007709116,2.3790000122971833,10.661400010576472,1.8726999987848103,12.539599993033335,False
Basketball,405,MRM5,none,8.444300008704886,1.8630999838933349,10.557899979176,1.1449999874457717,11.704899981850758,False
