pair_id,side,sequence,condition,repetition,execution_order,interval_end_to_end_ms,tracked_frames,start_snapshot_sha256
R3-D09,control,Human7,baseline,1,68,6134.552700001223,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
R3-D09,control,Human7,baseline,2,69,6198.74179999897,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
R3-D09,control,Human7,whole_mrm1_physical_skip,2,70,6111.463000001095,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
R3-D09,control,Human7,whole_mrm1_physical_skip,3,71,5910.943399998359,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
R3-D09,control,Human7,baseline,3,72,6289.752399999998,25,814f15dbbbc3caa6c869762f26021cef41b3879a066eef4773c0798b120ea2b4
R3-D06,control,Human8,whole_mrm1_physical_skip,1,73,5869.623699996737,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D06,control,Human8,baseline,1,74,5881.234899999981,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D06,control,Human8,baseline,2,75,5895.024000004923,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D06,control,Human8,whole_mrm1_physical_skip,2,76,5524.054300003627,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D06,control,Human8,whole_mrm1_physical_skip,3,77,5821.669699995255,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D06,control,Human8,baseline,3,78,6043.704199997592,24,f197fbc2654e8b6e1b0741a8108fbf96bee3909d4600308d58a5dc18e18504e8
R3-D02,control,Human8,baseline,1,79,4609.490999995614,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D02,control,Human8,whole_mrm1_physical_skip,1,80,4460.41239999613,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D02,control,Human8,whole_mrm1_physical_skip,2,81,4417.960300001141,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D02,control,Human8,baseline,2,82,4732.572499997332,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D02,control,Human8,baseline,3,83,4527.796000002127,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D02,control,Human8,whole_mrm1_physical_skip,3,84,4388.953800000309,19,d4700d2a8e4afd9da632340b28a7b76a953bdbdbf6295ed52969d4f951996391
R3-D06,primary,Jogging_1,baseline,1,85,7350.263000000268,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D06,primary,Jogging_1,whole_mrm1_physical_skip,1,86,6590.002299999469,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D06,primary,Jogging_1,whole_mrm1_physical_skip,2,87,5936.991599999601,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D06,primary,Jogging_1,baseline,2,88,6390.9159999966505,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D06,primary,Jogging_1,baseline,3,89,6376.145000001998,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D06,primary,Jogging_1,whole_mrm1_physical_skip,3,90,5711.941699999443,25,567f04465cc562bcb295209854cd442d4133630fe45e32b57842525c8b9d4642
R3-D03,control,Liquor,whole_mrm1_physical_skip,1,91,6053.359599995019,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
R3-D03,control,Liquor,baseline,1,92,5891.56119999825,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
R3-D03,control,Liquor,baseline,2,93,6207.413299998734,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
R3-D03,control,Liquor,whole_mrm1_physical_skip,2,94,6877.923400003056,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
R3-D03,control,Liquor,whole_mrm1_physical_skip,3,95,5916.651600004116,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
R3-D03,control,Liquor,baseline,3,96,6386.483600006613,25,205103f0ad3249158cda0958827c64c40e3aac96e5b235708cfc3108972e0a84
