pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,414,baseline,2,3,535.9935000014957,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,415,baseline,2,3,483.81099999824073,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,416,baseline,2,3,498.93950000114273,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,417,baseline,2,3,593.5164999973495,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,418,baseline,2,3,595.2513000011095,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,419,baseline,2,3,784.131400003389,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,420,baseline,2,3,549.5106999951531,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,421,baseline,2,3,581.6649999978836,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,422,baseline,2,3,481.61509999772534,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,423,baseline,2,3,602.0186000023386,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,424,baseline,2,3,502.3880000007921,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,425,baseline,2,3,470.359400002053,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,426,baseline,2,3,625.8693999989191,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,427,baseline,2,3,642.8559999985737,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,428,baseline,2,3,563.7818999966839,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,429,baseline,2,3,664.6299999993062,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,430,baseline,2,3,508.713400005945,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,431,baseline,2,3,480.8621000047424,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,432,baseline,2,3,581.9278999988455,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,433,baseline,2,3,680.1627000022563,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,434,baseline,2,3,478.1985000008717,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,435,baseline,2,3,499.6316000033403,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,397,whole_mrm1_physical_skip,2,4,592.07890000107,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,398,whole_mrm1_physical_skip,2,4,498.69089999992866,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,399,whole_mrm1_physical_skip,2,4,514.2105999984778,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,400,whole_mrm1_physical_skip,2,4,492.42989999765996,140518912,165675008,1,torch.float32,False,False,True
