pair_id,side,sequence,frame_index,comparison,maximum_float_bbox_abs_diff,integer_bbox_exact,score_map_max_abs_diff,confidence_abs_diff,left_end_state_sha256,right_end_state_sha256,continuation_state_exact,tolerance,status
R3-D02,primary,Bolt,44,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D02,primary,Bolt,45,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D02,primary,Bolt,46,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D02,primary,Bolt,47,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D02,primary,Bolt,48,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D02,primary,Bolt,49,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,36c1a1ee0813bb68a13e8228038be7ec707752f7a6aeb286e771d8c6382311f7,True,1e-06,PASS
R3-D05,primary,Car4,113,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,114,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,115,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,116,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,117,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,118,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,119,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,120,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,121,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,122,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,123,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,124,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,125,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
